level,role,method,MAE,MASE,RMSSE,n_nodes
1,top,base,7.441642816096407,1.2146321092326018,1.1060560840560807,1
1,top,bu,7.473590893512299,1.2198467052051005,1.1583940292346557,1
1,top,mint_cov,6.69996022762338,1.0935739626537995,1.0046005775224023,1
1,top,mint_ols,7.434820288256553,1.213518529666206,1.1056014821614364,1
1,top,mint_shrinkage,6.742237771913067,1.1004745441601684,1.004152180063593,1
1,top,mint_var,7.329494607040278,1.1963271705142502,1.123026392114454,1
1,top,naive,7.763218904678299,1.2671200681961958,1.198683633787918,1
1,top,wls_structure,7.434820288422074,1.2135185296932225,1.1056014821511755,1
2,middle,base,0.25159861339545747,1.1221297278548927,1.0158593737254022,100
2,middle,bu,0.2491826325473637,1.1155226420792534,1.0154097535793571,100
2,middle,mint_cov,0.25116822178471,1.135633775599387,1.0111262627924018,100
2,middle,mint_ols,0.2536499096608529,1.143241184249183,1.015720380509755,100
2,middle,mint_shrinkage,0.25004480582961736,1.127855636031724,1.0078072812923795,100
2,middle,mint_var,0.24963858454147306,1.1171760440266865,1.0134792507005705,100
2,middle,naive,0.26420913534850465,1.1562735086190306,1.1314676825586145,100
2,middle,wls_structure,0.25364990966291295,1.1432411842611117,1.0157203805088466,100
3,bottom,base,0.13050335264933705,1.1453526662360791,1.01022743217749,299
3,bottom,bu,0.13050335264933705,1.1453526662360791,1.01022743217749,299
3,bottom,mint_cov,0.1341189708708183,1.1787262999762553,1.0114607803807782,299
3,bottom,mint_ols,0.13307592232750087,1.1724006589509077,1.0114204163930651,299
3,bottom,mint_shrinkage,0.13299889303070486,1.1688539998712675,1.008039371947436,299
3,bottom,mint_var,0.13122560644020712,1.1508016652656752,1.0097316030417918,299
3,bottom,naive,0.13391556627683893,1.1711864692588219,1.133567322410774,299
3,bottom,wls_structure,0.13307592232881058,1.1724006589627247,1.0114204163931344,299
