round,num_rounds,avg_normalised_loss,avg_actual_loss,normalised_loss_delta,avg_train_loss,n_train_nodes,early_stop_enabled,early_stop_tol,early_stop_metric,stopped
1,100,0.5660149078103548,0.6485534592648361,,0.5660149078103548,400,True,1e-05,avg_normalised_loss_delta,False
2,100,0.4518057228772146,0.29520572762624164,0.1142091849331402,0.4518057228772146,400,True,1e-05,avg_normalised_loss_delta,False
3,100,0.44428625607455546,0.23225650999726896,0.007519466802659136,0.44428625607455546,400,True,1e-05,avg_normalised_loss_delta,False
4,100,0.44327098942402315,0.2364706992496314,0.0010152666505323094,0.44327098942402315,400,True,1e-05,avg_normalised_loss_delta,False
5,100,0.44223680568038604,0.21755420366622427,0.0010341837436371182,0.44223680568038604,400,True,1e-05,avg_normalised_loss_delta,False
6,100,0.4410787999821786,0.2207180930893194,0.0011580056982074538,0.4410787999821786,400,True,1e-05,avg_normalised_loss_delta,False
7,100,0.4404421061633223,0.21287978064059263,0.0006366938188562821,0.4404421061633223,400,True,1e-05,avg_normalised_loss_delta,False
8,100,0.43933509120015685,0.21075242385894646,0.0011070149631654536,0.43933509120015685,400,True,1e-05,avg_normalised_loss_delta,False
9,100,0.43823405135589366,0.21779229180057297,0.0011010398442631852,0.43823405135589366,400,True,1e-05,avg_normalised_loss_delta,False
10,100,0.4373450957666677,0.20674389938774307,0.0008889555892259704,0.4373450957666677,400,True,1e-05,avg_normalised_loss_delta,False
11,100,0.4361040255064966,0.2096687228528227,0.0012410702601711177,0.4361040255064966,400,True,1e-05,avg_normalised_loss_delta,False
12,100,0.43525304490116284,0.20365341831449718,0.0008509806053337288,0.43525304490116284,400,True,1e-05,avg_normalised_loss_delta,False
13,100,0.4336999812148797,0.19904675645257366,0.0015530636862831626,0.4336999812148797,400,True,1e-05,avg_normalised_loss_delta,False
14,100,0.4317913889479669,0.1968123858118291,0.0019085922669127564,0.4317913889479669,400,True,1e-05,avg_normalised_loss_delta,False
15,100,0.4295776082575054,0.18716701472538858,0.00221378069046152,0.4295776082575054,400,True,1e-05,avg_normalised_loss_delta,False
16,100,0.4261233464414883,0.18396282892034171,0.0034542618160171012,0.4261233464414883,400,True,1e-05,avg_normalised_loss_delta,False
17,100,0.42280669410518323,0.17519686604619633,0.0033166523363050704,0.42280669410518323,400,True,1e-05,avg_normalised_loss_delta,False
18,100,0.4189746611286435,0.18190137956354546,0.003832032976539723,0.4189746611286435,400,True,1e-05,avg_normalised_loss_delta,False
19,100,0.4159469093789132,0.18840046055160542,0.003027751749730301,0.4159469093789132,400,True,1e-05,avg_normalised_loss_delta,False
20,100,0.4130520537214775,0.177233622310736,0.002894855657435691,0.4130520537214775,400,True,1e-05,avg_normalised_loss_delta,False
21,100,0.4103602763929565,0.17522491306663895,0.0026917773285209945,0.4103602763929565,400,True,1e-05,avg_normalised_loss_delta,False
22,100,0.407923421665705,0.17263619537064842,0.002436854727251525,0.407923421665705,400,True,1e-05,avg_normalised_loss_delta,False
23,100,0.40626949066002316,0.16993031583354715,0.0016539310056818413,0.40626949066002316,400,True,1e-05,avg_normalised_loss_delta,False
24,100,0.4057685434116308,0.16713416952838095,0.0005009472483923361,0.4057685434116308,400,True,1e-05,avg_normalised_loss_delta,False
25,100,0.4049227818268653,0.1700851631205481,0.0008457615847655142,0.4049227818268653,400,True,1e-05,avg_normalised_loss_delta,False
26,100,0.40331538656119464,0.17003174990909262,0.0016073952656706636,0.40331538656119464,400,True,1e-05,avg_normalised_loss_delta,False
27,100,0.40252045028261035,0.16370367388255994,0.0007949362785842906,0.40252045028261035,400,True,1e-05,avg_normalised_loss_delta,False
28,100,0.40180295218668244,0.16345179082613462,0.0007174980959279154,0.40180295218668244,400,True,1e-05,avg_normalised_loss_delta,False
29,100,0.4015258624136793,0.16386221445791294,0.0002770897730031141,0.4015258624136793,400,True,1e-05,avg_normalised_loss_delta,False
30,100,0.40121331883563455,0.1650560144826584,0.00031254357804477717,0.40121331883563455,400,True,1e-05,avg_normalised_loss_delta,False
31,100,0.40021435459016386,0.16245503731854072,0.0009989642454706904,0.40021435459016386,400,True,1e-05,avg_normalised_loss_delta,False
32,100,0.39949282004320325,0.15961569239542187,0.0007215345469606116,0.39949282004320325,400,True,1e-05,avg_normalised_loss_delta,False
33,100,0.39934799059620074,0.15911013991602263,0.00014482944700250355,0.39934799059620074,400,True,1e-05,avg_normalised_loss_delta,False
34,100,0.39950728544061265,0.15923853485269052,0.00015929484441190578,0.39950728544061265,400,True,1e-05,avg_normalised_loss_delta,False
35,100,0.39866747478588044,0.16340600692094792,0.0008398106547322093,0.39866747478588044,400,True,1e-05,avg_normalised_loss_delta,False
36,100,0.3982164798217813,0.1588349626867565,0.0004509949640991162,0.3982164798217813,400,True,1e-05,avg_normalised_loss_delta,False
37,100,0.3980716225113944,0.15968649324834577,0.0001448573103869366,0.3980716225113944,400,True,1e-05,avg_normalised_loss_delta,False
38,100,0.3975811080834994,0.1589137754107487,0.0004905144278949947,0.3975811080834994,400,True,1e-05,avg_normalised_loss_delta,False
39,100,0.39734931799075335,0.15692162262531117,0.00023179009274604256,0.39734931799075335,400,True,1e-05,avg_normalised_loss_delta,False
40,100,0.396355763161859,0.158633373522942,0.0009935548288943497,0.396355763161859,400,True,1e-05,avg_normalised_loss_delta,False
41,100,0.39649398715803896,0.15650119775920832,0.00013822399617996473,0.39649398715803896,400,True,1e-05,avg_normalised_loss_delta,False
42,100,0.39665721030952783,0.1553258801877867,0.00016322315148886712,0.39665721030952783,400,True,1e-05,avg_normalised_loss_delta,False
43,100,0.39579003483776576,0.15889680958983873,0.0008671754717620717,0.39579003483776576,400,True,1e-05,avg_normalised_loss_delta,False
44,100,0.39617468865528566,0.15581150204357958,0.0003846538175198977,0.39617468865528566,400,True,1e-05,avg_normalised_loss_delta,False
45,100,0.39597806592718326,0.15785258666084098,0.00019662272810239134,0.39597806592718326,400,True,1e-05,avg_normalised_loss_delta,False
46,100,0.3948079155694441,0.16151928161142576,0.0011701503577391525,0.3948079155694441,400,True,1e-05,avg_normalised_loss_delta,False
47,100,0.3951999675052481,0.15923238811428755,0.0003920519358039942,0.3951999675052481,400,True,1e-05,avg_normalised_loss_delta,False
48,100,0.3948553057542638,0.1562733758014763,0.00034466175098429863,0.3948553057542638,400,True,1e-05,avg_normalised_loss_delta,False
49,100,0.3939252742977689,0.15438280886115724,0.0009300314564948953,0.3939252742977689,400,True,1e-05,avg_normalised_loss_delta,False
50,100,0.39477501317635727,0.15483096554643186,0.0008497388785883575,0.39477501317635727,400,True,1e-05,avg_normalised_loss_delta,False
51,100,0.3943366833842591,0.15535610297226218,0.0004383297920981799,0.3943366833842591,400,True,1e-05,avg_normalised_loss_delta,False
52,100,0.3937742748694123,0.16944095491555353,0.0005624085148467906,0.3937742748694123,400,True,1e-05,avg_normalised_loss_delta,False
53,100,0.3936807223440912,0.15485110846668496,9.355252532111669e-05,0.3936807223440912,400,True,1e-05,avg_normalised_loss_delta,False
54,100,0.3932240030395224,0.15311602674357716,0.00045671930456880894,0.3932240030395224,400,True,1e-05,avg_normalised_loss_delta,False
55,100,0.3935084108801085,0.15437403196069746,0.00028440784058614277,0.3935084108801085,400,True,1e-05,avg_normalised_loss_delta,False
56,100,0.39342479594598045,0.15562764565973936,8.361493412806231e-05,0.39342479594598045,400,True,1e-05,avg_normalised_loss_delta,False
57,100,0.3924278065740085,0.1549920827944271,0.000996989371971957,0.3924278065740085,400,True,1e-05,avg_normalised_loss_delta,False
58,100,0.3929689672093557,0.1543911704086539,0.0005411606353472043,0.3929689672093557,400,True,1e-05,avg_normalised_loss_delta,False
59,100,0.39198761762606293,0.153000456068854,0.0009813495832927677,0.39198761762606293,400,True,1e-05,avg_normalised_loss_delta,False
60,100,0.392503351715899,0.15353784419459202,0.0005157340898360729,0.392503351715899,400,True,1e-05,avg_normalised_loss_delta,False
61,100,0.3916933245226082,0.15528360821623247,0.0008100271932908187,0.3916933245226082,400,True,1e-05,avg_normalised_loss_delta,False
62,100,0.3916491718769003,0.15206733391850638,4.4152645707895566e-05,0.3916491718769003,400,True,1e-05,avg_normalised_loss_delta,False
63,100,0.39222323337570897,0.16039093139085786,0.0005740614988086756,0.39222323337570897,400,True,1e-05,avg_normalised_loss_delta,False
64,100,0.3915779211740666,0.1533983273776869,0.0006453122016423785,0.3915779211740666,400,True,1e-05,avg_normalised_loss_delta,False
65,100,0.3915196384493643,0.15324100466471632,5.8282724702263256e-05,0.3915196384493643,400,True,1e-05,avg_normalised_loss_delta,False
66,100,0.3909420928331721,0.15309947470904,0.000577545616192221,0.3909420928331721,400,True,1e-05,avg_normalised_loss_delta,False
67,100,0.39053321257991586,0.15197208083051467,0.00040888025325624966,0.39053321257991586,400,True,1e-05,avg_normalised_loss_delta,False
68,100,0.39059316198740535,0.15209741427295495,5.994940748949018e-05,0.39059316198740535,400,True,1e-05,avg_normalised_loss_delta,False
69,100,0.39075759945197275,0.15256864964695618,0.00016443746456740183,0.39075759945197275,400,True,1e-05,avg_normalised_loss_delta,False
70,100,0.390091175009744,0.1522963046068009,0.0006664244422287524,0.390091175009744,400,True,1e-05,avg_normalised_loss_delta,False
71,100,0.3895492154085969,0.15154995496927046,0.0005419596011471128,0.3895492154085969,400,True,1e-05,avg_normalised_loss_delta,False
72,100,0.38955912511877905,0.15062840475331865,9.909710182165465e-06,0.38955912511877905,400,True,1e-05,avg_normalised_loss_delta,True
