level,role,method,MAE,MASE,RMSSE,n_series,approach
1,top,base,4.327814094517329,0.7063899862907426,0.6430501025545968,1,localised
1,top,bu,6.616443058216949,1.0799422108052925,1.064626499910194,1,localised
1,top,mint_ols,4.308247195286463,0.7031962581458683,0.6397513983214053,1,localised
1,top,mint_shrinkage,5.048074587512523,0.8239515979175428,0.7799194973297426,1,localised
1,top,mint_var,5.360598089557008,0.8749619850329255,0.8397377429895083,1,localised
1,top,naive,7.763218892694064,1.2671200674098724,1.1986836378788746,1,localised
1,top,wls_structure,4.750445332549471,0.775372264161174,0.7294711967751086,1,localised
2,middle,base,0.25398433023981176,1.1463802327839452,1.0629725679476474,100,localised
2,middle,bu,0.25483182683178657,1.149178237003188,1.0619835293902644,100,localised
2,middle,mint_ols,0.2472762433190498,1.140258768071113,1.0251425057659043,100,localised
2,middle,mint_shrinkage,0.2440660258793687,1.1103384800704006,1.021791234284322,100,localised
2,middle,mint_var,0.24037312562678043,1.0954081407896312,1.0138282619628256,100,localised
2,middle,naive,0.2642091352739726,1.156273507855631,1.1314676824766172,100,localised
2,middle,wls_structure,0.2390720883455745,1.0916038308199425,1.0075941376530202,100,localised
3,bottom,base,0.13536331414315175,1.1908969967137801,1.0664944730213848,299,localised
3,bottom,bu,0.13536331414315175,1.1908969967137801,1.0664944730213848,299,localised
3,bottom,mint_ols,0.14091657899143822,1.258780599752902,1.0687432297924808,299,localised
3,bottom,mint_shrinkage,0.13582912720645973,1.195786907414517,1.0556929780743534,299,localised
3,bottom,mint_var,0.1350676305888745,1.1878746926393273,1.0524524120700258,299,localised
3,bottom,naive,0.13391556615659503,1.1711864677646742,1.1335673222455458,299,localised
3,bottom,wls_structure,0.13600138216572352,1.2026008248869782,1.0533432154790432,299,localised
